datetime,open,high,low,close
2023-04-16 00:00:00,2090.61000,2092.25000,2088.62000,2088.63000
2023-04-15 23:45:00,2092.36000,2092.59000,2090.09000,2090.60000
2023-04-15 23:30:00,2092.21997,2094.77002,2091.56000,2092.36000
2023-04-15 23:15:00,2094.93000,2095.23000,2091.11000,2092.68000
2023-04-15 23:00:00,2093.95996,2096.39000,2093.95996,2094.93000
2023-04-15 22:45:00,2097.24000,2097.78000,2090.62000,2095.26000
2023-04-15 22:30:00,2095.91000,2097.38989,2093.38000,2097.23000
2023-04-15 22:15:00,2095.14000,2098.37012,2093.69000,2095.91000
2023-04-15 22:00:00,2088.32000,2097.59000,2083.66000,2095.14000
2023-04-15 21:45:00,2091.89990,2093.44000,2082.61000,2088.31006
2023-04-15 21:30:00,2092.17000,2093.49000,2088.76000,2092.89990
2023-04-15 21:15:00,2086.43000,2092.55000,2086.43000,2092.16000
2023-04-15 21:00:00,2086.47998,2088.77002,2082.01000,2086.43000
2023-04-15 20:45:00,2095.34000,2095.35000,2085.01000,2086.98000
2023-04-15 20:30:00,2097.02002,2097.68000,2093.50000,2095.35000
2023-04-15 20:15:00,2096.49000,2099.05005,2095.94995,2099.05005
2023-04-15 20:00:00,2100.01000,2102.67000,2095.41000,2096.48000
2023-04-15 19:45:00,2084.82007,2101.26000,2084.82007,2100.00000
2023-04-15 19:30:00,2092.79000,2095.42000,2089.00000,2089.00000
2023-04-15 19:15:00,2094.00000,2096.66992,2092.38000,2092.78000
2023-04-15 19:00:00,2096.02002,2097.33000,2093.99000,2093.99000
2023-04-15 18:45:00,2096.04000,2097.00000,2095.01000,2096.03000
2023-04-15 18:30:00,2095.03000,2097.30005,2094.55000,2096.04000
2023-04-15 18:15:00,2093.16992,2095.80005,2091.83008,2095.02000
2023-04-15 18:00:00,2090.02000,2093.25000,2089.73000,2092.89990
2023-04-15 17:45:00,2092.95000,2093.68994,2090.02000,2090.03000
2023-04-15 17:30:00,2097.89990,2097.89990,2088.44000,2092.96000
2023-04-15 17:15:00,2099.57000,2100.17000,2093.34000,2098.32000
2023-04-15 17:00:00,2105.94000,2106.30000,2098.97000,2099.57000
2023-04-15 16:45:00,2104.16000,2108.98000,2102.05000,2105.93000
2023-04-15 16:30:00,2105.18994,2106.44000,2100.40000,2104.16000
2023-04-15 16:15:00,2097.04000,2103.85000,2095.67000,2103.26000
2023-04-15 16:00:00,2097.97000,2101.61000,2095.77002,2097.03000
2023-04-15 15:45:00,2103.52000,2106.42000,2097.76000,2097.98000
