datetime,open,high,low,close
2024-02-23 00:00:00,2971.40000,2977.86000,2970.20000,2973.62000
2024-02-22 23:45:00,2969.69000,2975.94000,2969.69000,2971.40000
2024-02-22 23:30:00,2977.40000,2981.89000,2969.37000,2969.69000
2024-02-22 23:15:00,2977.87000,2980.76000,2970.56000,2977.41000
2024-02-22 23:00:00,2987.89000,2991.81000,2971.58000,2977.87000
2024-02-22 22:45:00,2981.47000,2992.68000,2980.14000,2987.89000
2024-02-22 22:30:00,2970.00000,2986.01000,2969.35000,2981.47000
2024-02-22 22:15:00,2983.42000,2988.17000,2970.00000,2970.01000
2024-02-22 22:00:00,2985.16000,2991.59000,2974.55000,2983.42000
2024-02-22 21:45:00,2980.15000,2987.05000,2975.71000,2985.16000
2024-02-22 21:30:00,2991.98000,2992.23000,2972.60000,2980.15000
2024-02-22 21:15:00,2994.30000,2994.30000,2984.17000,2991.98000
2024-02-22 21:00:00,3013.02000,3014.06000,2987.77000,2994.30000
2024-02-22 20:45:00,3009.51000,3015.42000,2991.44000,3013.01000
2024-02-22 20:30:00,3022.02000,3036.02000,3004.71000,3009.50000
2024-02-22 20:15:00,2987.67000,3024.93000,2985.54000,3022.01000
2024-02-22 20:00:00,2987.96000,2987.96000,2980.63000,2987.66000
2024-02-22 19:45:00,2987.16000,2988.60000,2982.39000,2987.96000
2024-02-22 19:30:00,2994.71000,2995.44000,2985.27000,2987.16000
2024-02-22 19:15:00,2986.61000,2995.31000,2979.50000,2994.71000
2024-02-22 19:00:00,2993.41000,2993.41000,2981.75000,2986.60000
2024-02-22 18:45:00,2992.70000,3002.80000,2987.70000,2993.41000
2024-02-22 18:30:00,2981.47000,2996.48000,2975.75000,2992.71000
2024-02-22 18:15:00,2979.54000,2987.58000,2977.50000,2981.48000
2024-02-22 18:00:00,2984.80000,2985.56000,2976.53000,2979.53000
2024-02-22 17:45:00,2986.67000,2989.32000,2983.41000,2984.79000
2024-02-22 17:30:00,2981.82000,2989.86000,2980.02000,2986.66000
2024-02-22 17:15:00,2976.21000,2988.99000,2976.03000,2981.83000
2024-02-22 17:00:00,2970.00000,2983.01000,2969.99000,2976.20000
2024-02-22 16:45:00,2973.54000,2974.45000,2960.93000,2970.00000
2024-02-22 16:30:00,2966.19000,2979.17000,2965.20000,2973.54000
2024-02-22 16:15:00,2982.35000,2983.76000,2961.64000,2966.19000
2024-02-22 16:00:00,2986.95000,2989.40000,2982.10000,2982.36000
2024-02-22 15:45:00,2983.00000,2988.31000,2976.71000,2986.95000
2024-02-22 15:30:00,2970.01000,2998.60000,2967.86000,2983.00000
2024-02-22 15:15:00,2965.60000,2974.71000,2961.44000,2970.01000
2024-02-22 15:00:00,2966.02000,2976.89000,2962.50000,2965.60000
2024-02-22 14:45:00,2964.99000,2969.69000,2957.62000,2966.01000
2024-02-22 14:30:00,2950.40000,2968.31000,2947.22000,2964.99000
2024-02-22 14:15:00,2951.63000,2953.45000,2943.84000,2950.40000
2024-02-22 14:00:00,2944.68000,2959.35000,2939.50000,2951.63000
2024-02-22 13:45:00,2942.19000,2946.62000,2929.39000,2944.68000
2024-02-22 13:30:00,2953.74000,2959.96000,2941.58000,2942.19000
2024-02-22 13:15:00,2970.72000,2970.73000,2939.22000,2953.74000
2024-02-22 13:00:00,2982.11000,2984.11000,2965.40000,2970.72000
2024-02-22 12:45:00,2976.53000,2982.40000,2972.01000,2982.11000
2024-02-22 12:30:00,2991.10000,2993.34000,2971.00000,2976.52000
2024-02-22 12:15:00,2996.99000,3005.00000,2991.09000,2991.10000
2024-02-22 12:00:00,2990.80000,2998.83000,2985.74000,2997.00000
2024-02-22 11:45:00,2985.90000,2993.75000,2980.63000,2990.80000
2024-02-22 11:30:00,2984.08000,2992.99000,2983.20000,2985.89000
2024-02-22 11:15:00,2985.39000,2988.20000,2971.00000,2984.08000
2024-02-22 11:00:00,2996.80000,2997.31000,2979.60000,2985.38000
2024-02-22 10:45:00,3000.06000,3000.99000,2989.02000,2996.80000
2024-02-22 10:30:00,3011.16000,3011.90000,2999.21000,3000.06000
2024-02-22 10:15:00,3017.91000,3017.92000,3010.59000,3011.15000
2024-02-22 10:00:00,3023.65000,3024.00000,3014.77000,3017.92000
2024-02-22 09:45:00,3016.28000,3032.86000,3014.63000,3023.65000
2024-02-22 09:30:00,3014.30000,3016.80000,2998.60000,3016.27000
2024-02-22 09:15:00,3014.10000,3015.00000,3007.40000,3014.30000
2024-02-22 09:00:00,3020.77000,3024.00000,3012.12000,3014.11000
2024-02-22 08:45:00,3012.76000,3022.96000,3008.20000,3020.77000
2024-02-22 08:30:00,3005.15000,3018.71000,2994.47000,3012.75000
2024-02-22 08:15:00,3004.95000,3014.19000,2995.34000,3005.15000
2024-02-22 08:00:00,2993.79000,3014.86000,2987.65000,3004.95000
2024-02-22 07:45:00,2990.35000,2994.72000,2982.47000,2993.79000
2024-02-22 07:30:00,2977.79000,2998.00000,2974.62000,2990.34000
2024-02-22 07:15:00,2962.86000,2978.96000,2961.82000,2977.79000
2024-02-22 07:00:00,2960.33000,2966.31000,2955.75000,2962.85000
2024-02-22 06:45:00,2947.08000,2963.99000,2943.52000,2960.33000
2024-02-22 06:30:00,2936.77000,2948.36000,2936.77000,2947.09000
2024-02-22 06:15:00,2934.71000,2939.62000,2931.30000,2936.78000
2024-02-22 06:00:00,2933.81000,2935.23000,2931.64000,2934.71000
2024-02-22 05:45:00,2938.80000,2944.59000,2928.39000,2933.80000
2024-02-22 05:30:00,2941.82000,2945.21000,2932.85000,2938.80000
2024-02-22 05:15:00,2929.37000,2943.62000,2929.36000,2941.83000
2024-02-22 05:00:00,2926.88000,2935.02000,2926.88000,2929.36000
2024-02-22 04:45:00,2925.78000,2932.21000,2920.98000,2926.89000
2024-02-22 04:30:00,2928.67000,2929.60000,2923.44000,2925.79000
2024-02-22 04:15:00,2937.82000,2938.81000,2924.60000,2928.66000
2024-02-22 04:00:00,2935.52000,2940.40000,2932.80000,2937.82000
2024-02-22 03:45:00,2932.00000,2941.19000,2931.99000,2935.51000
2024-02-22 03:30:00,2932.48000,2935.25000,2928.30000,2932.00000
2024-02-22 03:15:00,2926.35000,2933.17000,2925.86000,2932.47000
2024-02-22 03:00:00,2920.40000,2926.35000,2917.00000,2926.34000
2024-02-22 02:45:00,2924.08000,2925.17000,2919.72000,2920.41000
2024-02-22 02:30:00,2925.05000,2925.85000,2914.39000,2924.08000
2024-02-22 02:15:00,2920.82000,2927.35000,2920.81000,2925.05000
2024-02-22 02:00:00,2910.23000,2921.17000,2909.67000,2920.81000
2024-02-22 01:45:00,2922.61000,2924.94000,2906.51000,2910.23000
2024-02-22 01:30:00,2940.99000,2943.48000,2916.39000,2922.60000
2024-02-22 01:15:00,2945.36000,2950.17000,2938.51000,2940.99000
2024-02-22 01:00:00,2940.99000,2948.26000,2934.99000,2945.36000
